art_nombre,art_vr_reposicion,cco_nombre,predevolucion,estado
Tableros_Modulares,66000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Tableros_Modulares,20000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Tableros_Modulares,29000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Andamios,2000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Tableros_Modulares,4500,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Andamios,150000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Andamios,98000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Tableros_Modulares,125000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Tableros_Modulares,260000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Formaleta,180000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Formaleta,25000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Formaleta,30000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Andamios,80000,EBENEZER CONSTRUCCIONES SAS,1,Bueno
Formaleta,320000,BODEGA METALMEGA,0,Malo
Herramienta,150000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Herramienta,260000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,110000,AMATISTA LIVING,0,Bueno
Equipo_Electronico,5500000,AMATISTA LIVING,0,Bueno
Equipo_multi,70000,BODEGA METALMEGA,0,Bueno
Andamios,2000,BODEGA METALMEGA,0,Bueno
Equipo_multi,150000,BODEGA METALMEGA,0,Bueno
Equipo_multi,130000,BODEGA METALMEGA,0,Bueno
Equipo_multi,40000,BODEGA METALMEGA,0,Bueno
Equipo_multi,0,BODEGA METALMEGA,0,Bueno
Equipo_multi,2000,BODEGA METALMEGA,0,Bueno
Equipo_multi,90000,BODEGA METALMEGA,0,Bueno
Equipo_multi,164000,BODEGA METALMEGA,0,Bueno
Formaleta,200000,BODEGA METALMEGA,0,Malo
Formaleta,25000,BODEGA METALMEGA,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,260000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Herramienta,800000,AMATISTA LIVING,0,Bueno
Herramienta,150000,FSCR,0,Bueno
Herramienta,145000,FSCR,0,Bueno
Equipo_Electronico,110000,FSCR,0,Bueno
Equipo_Electronico,7700000,FSCR,0,Bueno
Herramienta,800000,AMATISTA LIVING,0,Bueno
Formaleta,30000,BODEGA METALMEGA,0,Malo
Formaleta,320000,BODEGA METALMEGA,0,Bueno
Formaleta,25000,BODEGA METALMEGA,0,Bueno
Andamios,2000,DEPOSITO JAZA,0,Malo
Andamios,150000,DEPOSITO JAZA,0,Bueno
Andamios,80000,DEPOSITO JAZA,0,Bueno
Equipo_multi,70000,FSCR,0,Bueno
Andamios,2000,FSCR,0,Bueno
Equipo_multi,150000,FSCR,0,Bueno
Equipo_multi,98900,FSCR,0,Bueno
Equipo_multi,130000,FSCR,0,Bueno
Equipo_multi,75900,FSCR,0,Bueno
